IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
47,Gladiator,25 May 2000 (Hong Kong),Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",8.5,"1,167,796",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
48,The Prestige,26 October 2006 (Hong Kong),Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson",8.5,"1,026,632","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
49,Apocalypse Now,27 March 1980 (Hong Kong),Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",8.5,"529,476","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
50,Memento,11 October 2001 (Hong Kong),Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",8.5,"1,000,910",A man with short-term memory loss attempts to track down his wife's murderer.
51,Alien,14 November 1979 (Hong Kong),Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",8.5,"688,776","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
52,Avengers: Infinity War,25 April 2018 (Hong Kong),Anthony Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",8.5,"528,652",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
53,The Great Dictator,27 March 1947 (Hong Kong),Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",8.5,"172,803",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
54,Nuovo Cinema Paradiso,18 January 1990 (Hong Kong),Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili",8.5,"192,211",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
55,Hotaru no haka,22 July 1989 (Hong Kong),Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",8.5,"185,559",A young boy and his little sister struggle to survive in Japan during World War II.
56,Sunset Blvd.,7 June 1951 (Hong Kong),Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",8.4,"172,024","A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship."
57,The Lives of Others,1 February 2007 (Hong Kong),Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",8.4,"311,419","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6 May 1965 (Hong Kong),Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden",8.4,"402,800",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
59,Paths of Glory,November 1957 (West Germany),Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",8.4,"149,569","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
60,The Shining,2 June 1983 (Hong Kong),Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",8.4,"748,738","A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
61,Django Unchained,17 January 2013 (Hong Kong),Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",8.4,"1,164,677","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
62,WALL·E,24 July 2008 (Hong Kong),Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin",8.4,"872,818","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
63,Mononoke-hime,14 August 1997 (Hong Kong),Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka",8.4,"281,812","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
64,Witness for the Prosecution,6 February 1958 (USA),Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",8.4,"86,617",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
65,American Beauty,2 March 2000 (Hong Kong),Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",8.4,"962,630",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
66,The Dark Knight Rises,19 July 2012 (Hong Kong),Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway",8.4,"1,342,956","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
67,Oldeuboi,14 October 2004 (Hong Kong),Chan-wook Park,"Min-sik Choi, Ji-tae Yu, Hye-jeong Kang",8.4,"440,577","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
68,Aliens,25 December 1986 (Hong Kong),James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn",8.4,"582,129","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
69,Coco,21 December 2017 (Hong Kong),Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",8.4,"237,109","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
70,Once Upon a Time in America,11 August 1984 (Hong Kong),Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern",8.4,"266,640","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
71,Das Boot,4 March 1982 (Hong Kong),Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",8.4,"201,622","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
