FilmName,enFID,BoxOffice
八佰,669412,310232
我和我的家乡,701620,282883
姜子牙,682630,160298
送你一朵小红花,701874,143250
拆弹专家2,691902,131477
金刚川,701994,112342
温暖的抱抱,695877,86455
除暴,683688,53777
我在时间尽头等你,684830,50461
紧急救援,673155,48524
晴雅集,695502,45155
沐浴之王,698915,40472
如果声音不记得,694211,33516
一点就到家,701597,31216
急先锋,683149,29381
花木兰,679587,27733
赤狐书生,653863,18567
喜宝,674139,11345
风平浪静,693697,8354
热血合唱团,657484,7002
明天你是否依然爱我,702863,6911
秀美人生,699989,5456
荞麦疯长,673894,5218
动物特工局,679292,4516
我的女友是机器人,694980,4246
2019阅兵盛典,702792,2951
月半爱丽丝,684769,2852
赤焰,659727,2685
抵达之谜,654391,2539
天道王,701783,2529
阿里巴巴与神灯,695051,2153
保家卫国——抗美援朝光影纪实,701963,1906
麦路人,682049,1796
网络凶铃,673964,1507
妙先生,693535,1313
半条棉被,694219,1221
奇妙王国之魔法奇缘,696989,1005
北平会馆,693847,838
十三猎杀,674188,798
82号古宅,677909,798
木兰：横空出世,640323,798
掬水月在手,680585,789
棒！少年,695054,789
少女佳禾,673859,785
蓝色防线,701779,718
星溪的三次奇遇,682062,691
跟世俗说再见,641043,672
气·球,677313,667
飞奔去月球,702847,583
马永贞之闸北决,699452,573
太空熊猫英雄诞生,683710,524
小公主艾薇拉与神秘王国2,695239,511
禹神传之王者少年,679466,508
剩女小爱,704664,504
鹭世界,674275,494
第一次的离别,682475,482
复合大作战,686489,445
流浪地球：飞跃2020特别版,701993,418
闺蜜心窍,614380,400
别告诉她,694336,392
致敬英雄,683781,371
信念一生,692141,355
再见吧！少年,701781,353
最可爱的人,703441,334
守望相思树,694494,328
通往春天的列车,674000,323
疲城,668226,315
骄傲的少年,676986,308
芙蓉渡,654640,302
大河向东流之沁源故事,692563,282
城市梦,693534,246
封口者,684466,231
士兵顺溜：兵王争锋,662473,198
龙神之子,695411,198
新愚公移山,677283,187
九条命,684856,165
36号护卫车,673417,156
婚前故事,703248,151
白云之下,681609,151
吕建江,676069,127
远方有多远,675034,127
守望人,695906,124
真假美猴王之大圣无双,681081,115
天边加油站,700700,112
狐踪谍影,673354,110
日光之下,695825,109
旦后,673379,107
应承,654188,106
天下无毒,641572,103
野猪,672701,102
大傩·董春女,672819,93
追梦险途,696922,92
那人那事,693909,89
风雨日昇昌,627877,85
一日成交,692510,76
半条被子,677864,74
橙妹儿的时代,696846,71
外来书记,692498,71
妈妈不再摇滚,696990,68
朝颜,674454,68
坚守1200秒,677446,67
无线信号,674202,63
爱情呼叫等待,692835,60
妈妈你真棒,681913,54
活着唱着,675969,52
胡柚娃,691894,49
致命复活,663435,49
带你归家,692074,47
光语者,680732,47
再见，陌生人,674035,45
极限父子,693764,45
神探罗蒙,680295,41
妈祖回家,682752,37
红色警戒,692516,35
天堂的张望,676920,32
我和我的小伙伴们,659256,31
随风飘散,683376,30
父子拳王,695157,30
旺扎的雨靴,674467,29
秃涂陌路,674631,28
红巴山,696116,26
冬去冬又来,676514,26
武圣关公,681151,26
有钱特烦恼,673607,24
关机,655905,24
五彩缤纷,672431,24
蕃薯浇米,673433,23
黄河尕谣,662583,22
围屋喜事,694894,21
一丈天地,667890,20
谁说我们不会爱2,679362,20
幸福是什么,678002,19
丑角儿,676499,18
无辜囚徒,683530,17
等你回家,682882,17
李畋传奇,678527,15
四年二班,674353,15
我的村我的家,686191,15
奔腾岁月,695928,15
怪癖英雄,678645,14
璀璨薪火3D,669444,14
出发！第一书记,695869,14
南拳之英雄崛起,693707,13
鲸落,703603,12
神剑奇缘,678697,11
爱是一场温柔幻觉,684018,11
不完美的幸福,673895,10
出走的马蹄,675880,10
你是最美,662136,10
沂蒙老兵,695320,10
沂蒙之恋,683143,9
宝贝追踪,696811,9
日照妮儿,676080,9
被遗忘的童年游戏,679492,9
永不沉默,703546,8
中华熊猫,653467,8
情定红海滩,680630,7
呆瓜兄弟,693035,7
幸福山歌,669186,7
东极日出,678611,7
征迁,681908,6
三块石,679388,6
山花绽放,694815,6
村官不难当,683196,6
周而复死,631519,5
少年有梦,640972,5
樟帮,684911,5
搏击者,681109,4
灰犀牛,666582,4
春天的麻雀,693417,4
