FilmName,enFID,BoxOffice
天·火,681365,17049.0
二十二,642681,17043.0
祖宗十九代,670442,16984.0
许愿神龙,676098,16823.0
危城,639257,16739.0
七月与安生,626298,16695.0
比利·林恩的中场战事,625158,16518.0
神探蒲松龄,671904,16115.0
只有芸知道,686011,15986.0
怦然星动,638821,15974.0
怦然星动,638821,15974.0
新大头儿子和小头爸爸3：俄罗斯奇遇记,672751,15823.0
非凡任务,655350,15646.0
夏有乔木 雅望天堂,627597,15641.0
冲上云霄,627643,15631.0
冲上云霄,627643,15631.0
欧洲攻略,637824,15321.0
云南虫谷,672799,15037.0
谜城,628394,14886.0
谜城,628394,14886.0
万物生长,629090,14832.0
万物生长,629090,14832.0
大师兄,674426,14630.0
雪人奇缘,691939,14594.0
破风,627886,14529.0
破风,627886,14529.0
王牌保镖,668639,13967.0
下一任：前任,683832,13828.0
追凶者也,631288,13590.0
王朝的女人·杨贵妃,607363,13394.0
王朝的女人·杨贵妃,607363,13394.0
十万个冷笑话2,655319,13364.0
叶问外传：张天志,660756,13183.0
一秒钟,679543,13123.0
新乌龙院之笑闹江湖,637873,13098.0
高跟鞋先生,628676,12996.0
28岁未成年,640662,12937.0
玩命速递：重启之战,631012,12849.0
玩命速递：重启之战,631012,12849.0
睡在我上铺的兄弟,637810,12782.0
大卫贝肯之倒霉特工熊,658620,12636.0
极限挑战之皇家宝藏,640866,12551.0
父子雄兵,657204,12528.0
小猪佩奇过大年,681380,12514.0
决胜时刻,686455,12486.0
廉政风云,672831,12440.0
傲娇与偏见,638811,12426.0
上海堡垒,644655,12390.0
天气预爆,682647,12384.0
罗曼蒂克消亡史,617156,12297.0
决战食神,643191,12191.0
爸爸的假期,628143,11634.0
爸爸的假期,628143,11634.0
惊天破,644689,11433.0
鲛珠传,628130,11358.0
喜宝,674139,11345.0
小Q,669359,11322.0
风语咒,677201,11285.0
不可思异,618119,11191.0
不可思异,618119,11191.0
缉魂,698687,11107.0
21克拉,642174,11013.0
赛尔号大电影6：圣者无敌,658090,10886.0
十八洞村,669716,10711.0
东北往事之破马张飞,618780,10611.0
追捕,637776,10598.0
神秘世界历险记4,673286,10477.0
七十七天,618581,10362.0
游戏规则,643725,10312.0
鼠胆英雄,669269,10166.0
绝世高手,641878,10125.0
幸福马上来,652546,10113.0
三少爷的剑,573488,10075.0
三人行,631111,10054.0
浴血广昌,672442,10038.0
冈仁波齐,642783,10010.0
催眠·裁决,673496,9918.0
我的姐姐,678591,9881.0
绑架者,657339,9572.0
降魔传,666423,9165.0
新大头儿子和小头爸爸2一日成才,653081,9058.0
魔宫魅影,637777,8844.0
大护法,641954,8760.0
百鸟朝凤,611464,8695.0
全职高手之巅峰荣耀,676521,8560.0
昨日青空,631038,8383.0
风平浪静,693697,8354.0
麦兜响当当,579746,8316.0
所以……和黑粉结婚了,639833,8118.0
梦想合伙人,628773,8101.0
你好，之华,677693,8022.0
武林怪兽,656597,7966.0
密战,669515,7945.0
小门神,627347,7868.0
惊天大逆转,644032,7866.0
阿凡提之奇缘历险,679295,7842.0
冰雪女王3：火与冰,639863,7422.0
血战湘江,661453,7396.0
潜艇总动员：海底两万里,657490,7271.0
捉迷藏,644455,7146.0
被光抓走的人,684772,7106.0
泄密者,668962,7082.0
热血合唱团,657484,7002.0
江湖儿女,672829,6995.0
反转人生,617733,6951.0
明天你是否依然爱我,702863,6911.0
龙虾刑警,654226,6879.0
狂兽,641712,6774.0
欢乐喜剧人,654668,6698.0
我们诞生在中国,644633,6665.0
猪八戒·传说,643333,6573.0
神秘世界历险记3,639105,6550.0
神奇马戏团,677231,6548.0
龙之战,654333,6534.0
荡寇风云,643425,6512.0
风中有朵雨做的云,643540,6511.0
我是路人甲,618612,6492.0
闪光少女,654136,6486.0
破·局,652849,6451.0
消失爱人,637761,6449.0
