FilmName,enFID,BoxOffice
梦境之源,676616,29
大雪冬至,661037,28
过往的梦,672093,28
自行车与旧电钢,660715,28
金陵三绝之猾丐,672563,28
奶奶的家,672861,28
疯狂熊孩子,661247,28
三伏天,630602,28
沿海出发,674412,27
三界,669431,27
雪·葬,663414,26
片警宝音,637939,26
爱不可及,680240,26
大导归来,659764,24
纯真年代,678896,24
我是检察官,678278,24
夜魔奇案,669940,23
淡蓝琥珀,654766,23
左滩,653787,23
向阳的日子,654130,23
致命夺宝,673993,22
毕业旅行笑翻天,652806,22
求求你爱上我,659536,21
天下父母,677347,18
八只鸡,661019,18
壹号别墅,673575,18
五度空间,638294,18
出山,629148,16
寻找女神·娇阿依,652805,15
地下凶猛,608122,15
落绕,663325,14
云上日出,639328,14
怒放的花儿,631709,14
不一样的焰火,666738,14
明天有多远,643365,13
擒贼先擒王,670663,13
翻滚吧姐妹,669533,13
红月亮之武陵山歌,626345,12
爱在前方,659550,12
请你记住我,666725,12
天使的声音,628810,12
产科男生,628677,12
格桑花开的时候,669089,11
漂亮的村事,672381,11
梭哈人生,669147,11
时间暗局,676761,10
疯狂的麻将,629826,10
神谕通天,660898,10
二师兄来了,654524,10
疯狂暑期之哈喽怪物,672389,9
33号公路,629354,9
爱在归来那一天,671187,9
大烟炮!一千八!,652799,8
萌宠入殓师,674363,8
同名男子,671908,8
青春24秒,653856,7
来日方长,629324,7
丢心,663065,7
一个人的江湖,673213,7
河间圣手,673145,6
那年，我还没长大,655799,6
超萌特攻,663068,6
熊猫石的奇幻旅行,668707,6
天梦,639823,6
梦想者联盟,673185,6
奔,674796,6
轻轻握住你的手,640929,6
只想好好和你在一起,664936,5
爱情的单程列车,673616,5
时间监狱,674629,5
芒刺,671371,5
雾都神探之绝情箭,677728,5
遥远的他,673434,5
盯上小偷的贼,641841,4
那条河,662630,4
醉佳导演,667424,4
堡藏,678000,4
左手右手,653514,4
审判者1,660933,4
我想和你们在一起,675554,4
有5个姐姐的我就注定要单身了啊,643555,3
寄生夙愿,672602,3
出走的娜拉,675325,3
三十那年,658236,3
火魔高跟鞋,672727,3
铁臂双雄,684240,3
渠首欢歌,618496,2
青春后驱动,662178,2
我们的四十年,670377,2
关关雎鸠,594441,2
对戒,640685,2
二胎来了,643214,2
疯狂的公牛,652335,2
莫名我就喜欢你,639940,2
半个月亮,641836,2
只能活一个,641887,2
假装不正经,670777,2
闺蜜的战争,673885,2
我来过,669792,2
恋爱101度,652778,1
冒牌恋人,642692,1
疯狂这一年,673382,1
任性的硬币,668706,1
九门提督,673116,1
追宝狂想曲,661399,1
别让爱情走弯路,673314,1
生如夏花,639659,1
舌尖上的斗争,642503,1
名将之后,638365,1
爱在湘西,653716,1
心灵救赎,678836,1
那些名字那些年,682479,1
正好的我们,666708,1
骑士阿吉,673793,1
请把生命交给我,653891,
铁笼,678840,
拳职妈妈,673706,
无法触碰的爱,627406,
青春正蓝,653926,
谁来陪伴我,618755,
天上掉下个琳妹妹,669418,
亭城之恋,671370,
浪漫七夕之疯狂搅局,652741,
寻娃总动员,672817,
美少女壮士,680973,
暗剑,631429,
谁是坏孩子,641624,
缘·梦,654149,
药仙,671899,
勇者闯魔城,664870,
天眸之爱,625937,
杀无赦,673573,
灵妖鉴之盘丝小仙,677200,
信守,682948,
家,677491,
水族魂1944,684969,
大耳朵图图之美食狂想曲（重映）,678015,
新蜀山剑侠传,661373,
红高粱（重映）,683251,
风速时光,639316,
恩师,637649,
那年八岁（重映）,678287,
苗寨情缘,626764,
爱是永恒,677487,
疯狂丑小鸭（重映）,682006,
光影之战（重映）,677489,
特警云豹,659654,
锁,663062,
恩师,637649,
名将之后（复映）,680749,
世界上最远的距离,682496,
股权风云,679197,
怨灵玩偶,676923,
老家新家（重映）,679163,
苗寨情缘,626764,
初恋的滋味,669800,
黑蝴蝶,667461,
嘻哈英熊（重映）,680886,
旗袍先生（重映）,683557,
下半场,652545,
大闹东海,639834,
卖命,672840,
三只小猪2（重映）,682007,
第四届成龙国际动作电影周,680365,
古城会（重映）,677025,
龙在哪里？（重映）,676362,
味之道,674283,
锁,663062,
