FilmName,enFID,BoxOffice
你好，李焕英,662746,538693
唐人街探案3,676314,451844
疯狂的外星人,638300,221425
刺杀小说家,644881,103427
夺冠,676043,83569
人潮汹涌,701866,75886
熊出没·狂野大陆,695236,59293
新神榜：哪吒重生,693143,45571
侍神令,658850,27410
大红包,693030,23532
许愿神龙,676098,16823
一秒钟,679543,13123
缉魂,698687,11107
我的姐姐,678591,9881
神奇马戏团,677231,6548
海底小纵队：火焰之环,700662,5326
没有过不去的年,684420,5079
武汉日夜,702283,2425
平安中国之守护者,696122,2085
日不落酒店,670735,1953
第十一回,691763,1611
古剑奇谭之流月昭明,653406,1412
吉祥如意,699907,1358
明天会好的,706395,1248
西游记之再世妖王,642381,1192
爱遍全球,704681,1154
合法伴侣,674131,1067
千顷澄碧的时代,701870,900
武陵山上的星光,639336,754
我为你喝彩,705222,733
小破孩大状元,692322,636
点点星光,686418,629
废柴老爸,639724,521
错爱迷踪,680646,517
山路十八湾,702206,496
又见奈良,696069,489
卸甲归来,693962,407
净地,672241,381
如梦晋阳,678713,364
大事,701879,356
歌带你回家,673808,332
始发站,686424,331
魔法鼠乐园,675841,328
长安伏妖,684916,307
老爷保号,694918,300
夜守,695935,272
禹神传之寻找神力,673402,206
非正式爱情,673322,190
足球王者,662190,185
丑小鸭的天鹅湖,686385,183
蓝色的卡布奇诺,683765,177
移情高手,703236,152
小伟,643146,145
无底洞,593903,116
小美人鱼的奇幻冒险,700877,109
幸运电梯,641762,107
不要先生与好的女士,692127,97
话梦光影,696117,96
郊区的鸟,672464,60
歌声的翅膀,695870,56
奇异世界历险记,662174,42
出手吧！女生,693415,38
湘江1934·向死而生,695072,36
圣山村谜局,696807,36
星际侠探,683815,35
风吹浪涌,700004,34
风来风去,655308,31
大地颂歌,705329,27
马莲花开,679916,22
生死下一秒,694916,22
天刃,669165,18
京北的我们,704768,18
烈日殊途,686500,13
一春,692863,13
完美人生,597218,12
爱我长城,676102,9
进城记,681836,8
无地自容,672329,7
梦醒黄金城,681924,6
往事如昨,695969,6
莲花池,676542,6
一些往事,705458,5
智爱2026,663129,4
扶贫主任,659635,4
绿色合伙人,674185,4
折腾出来的金窝窝,694951,3
背后的凶手,676568,2
疯狂的拳头,672310,2
特殊角色,703490,2
远山的等待,667758,1
客从何处来,678785,1
破晓徂徕山,680698,1
奇霞夺宝录,629055,1
驻村第一书记,676898,1
岁月江城,704234,1
双水村里枣花香,695982,
古镇风云,679461,
抢花炮,698640,
少年梦2,661348,
凌晨两点半2,675045,
猎狐行动,658970,
神探伍士德,669086,
来都来了,692806,
充满爱,681867,
春困,652709,
门锁,702566,
东北往事之二十年,660286,
白蛇传之白素贞,696092,
潜艇总动员：地心游记,697409,
无翅飞翔,706646,
无翅飞翔,706646,
神探伍士德,669086,
小秦归乡记,673617,
