FilmName,enFID,BoxOffice
哪吒之魔童降世,662685,503502
流浪地球,642412,468680
我和我的祖国,691481,317612
中国机长,681319,291312
飞驰人生,676018,172937
烈火英雄,692321,170719
少年的你,680681,155903
误杀,693266,133446
扫毒2：天地对决,682018,131289
叶问4：完结篇,624015,118331
攀登者,683180,110460
银河补习班,682208,87834
反贪风暴4,682238,79909
熊出没·原始时代,683172,71814
使徒行者2：谍影行动,685579,70223
宠爱,685447,68411
新喜剧之王,683395,62802
白蛇：缘起,682701,46737
最好的我们,691279,41761
诛仙Ⅰ,673511,40523
“大”人物,675107,38105
老师·好,678712,35577
罗小黑战记,672715,31527
追龙Ⅱ,680664,30930
决战中途岛,681457,29449
小小的愿望,676485,28657
犯罪现场,631802,25515
我为你牺牲,696120,24989
双子杀手,666750,23589
大约在冬季,684441,22807
两只老虎,678649,22470
受益人,676634,21967
南方车站的聚会,682020,20306
半个喜剧,679955,18862
沉默的证人,670114,18112
一吻定情,684093,17406
天·火,681365,17049
神探蒲松龄,671904,16115
只有芸知道,686011,15986
雪人奇缘,691939,14594
下一任：前任,683832,13828
小猪佩奇过大年,681380,12514
决胜时刻,686455,12486
廉政风云,672831,12440
上海堡垒,644655,12390
小Q,669359,11322
鼠胆英雄,669269,10166
催眠·裁决,673496,9918
全职高手之巅峰荣耀,676521,8560
被光抓走的人,684772,7106
猪八戒·传说,643333,6573
风中有朵雨做的云,643540,6511
人间·喜剧,659574,6325
亲爱的新年好,694996,6276
古田军号,638273,5866
特警队,681876,5717
碟仙,692791,5626
妈阁是座城,685947,5199
吹哨人,677003,5032
你是凶手,643307,4899
海林都,694774,4725
地久天长,673016,4527
钢铁飞龙之奥特曼崛起,676520,4467
铤而走险,681863,4433
一生有你2019,630295,4189
解放·终局营救,685446,4177
跳舞吧！大象,665027,3916
猪猪侠·不可思议的世界,680591,3612
红星照耀中国,679334,3438
家和万事惊,685259,3270
赛尔号大电影7：疯狂机器城,681843,3149
秦明·生死语者,671915,2995
送我上青云,673052,2954
周恩来回延安,692046,2831
雪暴,681192,2822
长安道,681430,2629
小巷管家,695042,2469
我的拳王男友,673137,2458
深夜食堂,667169,2423
巧虎大飞船历险记,672992,2409
潜艇总动员：外星宝贝计划,685416,2399
如影随心,667814,2369
素人特工,663018,2248
打过长江去,695206,2238
保持沉默,644629,2156
龙牌之谜,640826,2083
八子,672735,2077
早安公主,653817,2042
回到过去拥抱你,691447,1972
最佳男友进化论,655860,1954
看不见的小孩,680829,1930
悟空奇遇记,656602,1904
九龙不败,613643,1877
狗眼看人心,686807,1862
双生,682889,1768
未来机器城,662800,1691
转型团伙,654423,1677
昆虫总动员2：来自远方的后援军,686272,1646
那时风华,694745,1560
我的青春都是你,692041,1490
进京城,691925,1468
黄玫瑰,673525,1394
我在耀瓷小镇等你,681675,1323
冰峰暴,671589,1277
太阳升起的时刻,695532,1257
港珠澳大桥,674197,1224
桂香街,679558,1168
宠物联盟,695361,1132
侠路相逢,680245,1122
青蛙王子历险记,676873,1122
大梦难忘,681849,1115
四个春天,674125,1107
撞死了一只羊,669252,1039
过春天,673920,996
变化中的中国·生活因你而火热,676869,953
平原上的夏洛克,695014,946
在乎你,666570,918
燃点,673489,865
为国而歌,675118,822
最长1枪,683559,811
战斗民族养成记,684504,806
大侦探霍桑,638565,801
欲念游戏,654632,748
童童的风铃密室,678895,703
达道里,694140,679
逗爱熊仁镇,666923,634
一生只为一事来,683794,607
昆仑兄弟,673751,561
福星高照朱小八,681841,558
古井凶灵,654817,536
原来如此,675867,526
夜伴歌声,685859,525
疯狂梦幻城,684920,525
零零后,660739,521
国礼,673369,518
动物出击,683910,515
江南,693366,511
魔镜奇缘3,691771,509
盲舞,672705,503
闯堂兔3囧囧时光机,638977,502
音乐家,662802,498
追凶十九年,693412,479
横财局中局,672764,468
捉妖学院,671358,463
萤火奇兵2：小虫不好惹,691817,455
功夫四侠：勇闯地宫,672480,452
阳台上,674300,398
亲密旅行,680280,393
灰猴,673972,388
铁血阳泉,695322,380
花儿与歌声,693015,378
尺八·一声一世,691815,377
丑娃娃,685654,365
毕业的我们,679540,348
醒来之爱的呼唤,675893,344
守灵,656917,337
麦子的盖头,640640,331
骑遇,669270,319
极度危机,672573,309
噬魂剑,679563,262
我的宠物是大象,640434,256
大河唱,686254,253
骨瓷,644127,248
深海特攻队之超能晶石,675884,248
好小子，好功夫,675013,246
疯狂斗牛场,691893,232
午夜废墟,682635,230
利刃破冰,676462,219
营救汪星人,654187,210
一路爱情,681667,209
当我们海阔天空,676165,206
江海渔童之巨龟奇缘,663343,206
樵夫·廖俊波,693419,198
共同命运,663074,197
差等生乔曦,673868,195
少女宿舍,683908,192
匠心,672786,191
花椒之味,685256,185
公主裙,669253,180
悠然见南山,658635,165
一切如你,684760,161
午夜怪谈,640940,160
寻找兰小草,673708,159
三重威胁之跨国大营救,686590,152
难以置信,664904,152
蓝色生死恋,618454,149
杨靖宇,631469,143
幸福的小满,681367,137
五十米之恋,617790,137
妈妈，我想你,686412,136
六欲天,681492,133
周军的行走,678617,131
海门深处,677764,124
那一夜，我给你开过车,674143,117
学区房72小时,681912,115
迟来的告白,695204,114
喜盈代村,691417,111
猫公主苏菲,680242,111
我们的爱情,684594,110
雷雨,674416,99
致命梦魇,676904,97
古窑迷踪,673235,95
最后一刻,682219,94
天池水怪,662188,92
杨门女将之女将初征,676155,90
真爱不迟到,629526,90
红旗渠之归来仍是少年,684034,89
九克拉战栗,672626,85
老公去哪了,629344,85
此时此刻·2019大阅兵,695964,85
大微商,673881,82
冠军的心,614106,81
我在原地等你,682613,78
恋恋不舍,673821,75
半边天,678737,74
灵魂的救赎,640466,73
黄花塘往事,694757,72
碧血锦衣卫,677332,70
芬芳,693774,69
318号公路,642629,66
迷局伏香,686248,62
红色土司,660919,58
上海的女儿,670772,55
潜行者,680019,53
很高兴遇见·你,672479,53
海上浮城,655858,51
要活着去天堂,676985,51
陌路徒者,673874,51
订亲,680670,46
大话西游之成长的烦恼,672816,46
红色之子·单刀赴会,694866,45
天眼风云,678281,44
长官传奇,654603,41
1931刺杀宋子文之谜,669801,41
他她他她,672901,41
戏笑江湖,681931,40
踮起脚尖说爱你,662810,39
过昭关,673173,38
铁拳雄心,676969,36
暗语者,676075,35
高兴逮笨贼,680285,32
夺命杀机,669946,32
六连煞,669124,31
柔情史,673585,31
爱在零纬度,674428,29
别岁,661006,29
一车四仆,686021,29
龟兔赛跑,654657,28
劫数难逃,669469,27
英歌魂,693759,27
善良的天使,639756,27
红花绿叶,673119,27
蜻蜓少年,677758,26
沉默的雪,674449,26
功夫小镇,673844,26
简爱之约,679403,25
红色圩场,676515,25
特别的爸爸,659658,25
汝海风云,668975,24
温暖之城之红日亭,679883,24
逆罪,667474,24
榫卯,639492,23
参娃与天池怪兽之瑞雪兆丰年,662189,22
似水流年,680012,22
靠近我温暖你,693917,21
非对称较量,663169,21
空巢也疯狂,679538,21
星月夜,681060,21
最美的地方遇见你,666426,21
煎饼果子来一套,664901,21
舞台,668235,21
风吹吧麦浪,676082,21
步步为营,672438,20
武林孤儿,672811,20
三流勇士,628334,20
歌唱动荡的青春,675923,20
空天战队之星兽大战,674384,20
西河恋歌,679994,19
拿摩一等,694875,19
爱·之痕,680251,18
梧桐树,679478,18
你好现任,692390,18
呼伦贝尔城,672617,17
三年,692792,17
血战敖伦布拉格,674307,16
丢人,674321,16
侣行攻略之确认你是我的人,684128,15
毕业旅行之逍遥骑士,641592,15
守望一生,588741,15
密林诡影,640424,15
柬爱,682119,15
来者何人,674085,15
大陈岛誓言,673481,15
小轿车,628187,14
HELLO，北京,691621,14
浴血反击,642651,14
指尖世界,678720,14
灶神来了,661356,14
火红青春,617362,14
薪火相传,673826,14
我的心里住着一只猫,669531,13
风雨同仁堂（京剧）,663067,13
那座桥,676577,13
丛林历险记,663023,12
格桑花之爱在前行,673976,12
梦想之战：踢球吧阿妹,691444,12
一路疯癫,686253,12
犬爱,641805,11
搞怪奇妙夜,641907,11
煽疯点火,677923,11
很有态度,677910,11
相亲时代,678277,11
我叫为何,681067,11
菲凡记忆,676468,10
乌珠穆沁恋歌,674103,10
卡壳,669042,10
北纬25°天空下,678533,10
爱无痕,673860,10
创客兄弟,691353,10
越域重生,662762,9
崮上情天,693833,9
诗与真,693135,8
随风摇曳,588047,8
海风吹过零丁洋,672729,7
大瓦山的笑声,674061,7
爱情图鉴之暗恋,677462,7
别哭！妈妈,669453,7
嘿，蠢贼,671185,7
未来的你,680249,7
直播攻略,691543,6
极限速递,682223,6
摇滚吧！老爸,669098,6
向阳花又开,682646,6
白巷里,671429,6
二月泉,670313,6
舞动吧！少年,679988,5
顺天府奇案之国子监案,678641,5
爱情诅咒,661401,5
六月夏初,673702,5
偷龙换凤,663272,5
白门柳,630391,5
白蛇之恋,629413,5
爱在长征,663072,5
乾坤镯,677762,5
江城1943,672434,5
王者盛宴,678662,4
向爱而生,683909,4
今世未了缘,682480,4
战斧行动,666455,4
七月之后,677991,4
梦里回到昨天,663225,4
小石头下乡记,682753,4
蓝色百褶裙,691241,4
慈善玩家,694551,4
上海往事之当年情,675036,3
疯狂的契约,669090,3
秘密菜园,678684,3
好好回家,669374,3
占芭花开,644111,3
我是车手,662182,3
一个秘密,676482,3
心之山,676971,3
黑匣子,643103,3
封口之谜,681216,3
碧血丹砂,659609,3
耿二驴那些事儿,681600,2
搭秋千的人,681644,2
英雄无悔,652520,2
猎袭,681494,2
风从塬上来,685961,2
QQ女人心,595611,2
老喇叭新传,676938,2
又是一春梨花白,663365,2
在别处,673410,2
我们回家吧,665403,2
我在社区当片儿警,683911,2
小小家长,643026,2
到你身边,678575,2
魔音谷,682460,2
疯狂一家秀,638861,2
那树繁花,677993,2
大破天门阵,669430,2
生命之轮,677859,1
飞吧冰球,676134,1
功夫营救,674142,1
北京屋檐下,691539,1
飞行员呆呆鸟,682885,1
云雾笼罩的山峰,684691,1
陵水谣,691545,1
岭上花开,673697,1
始石疯暴,662795,1
最近最远的你,668986,1
伶工学社,681126,1
零八三七,685255,1
温暖的寒冬,652721,1
小中年,685197,1
娱乐追击,659736,1
安阳劫,639973,1
生根,696422,1
绝代芳华,653116,1
护宝计中计,660752,
源·彩虹,662302,
小心“陷阱”,674215,
白牦牛,640149,
梅朵与月光,654182,
阳光星旅团,673509,
危情电话,675922,
李白之天火燎原,681247,
老嘎,654405,
博弈人生,653597,
凤皇传,672836,
半镜,662828,
少年阿凡提,610055,
京剧猫：霸王折,685883,
白日迷雾,694539,
傻儿夫妻小神郎,642603,
幸福俏冤家,694290,
遇见明天,674369,
爱的距离,662176,
隐藏,680025,
碟仙实录,630674,
道具师,695201,
秘不可言,672711,
社区当家人,661394,
遇见明天,674369,
错位囧途,639803,
一级指控,691772,
带我回家,662510,
八仙之各显神通,680430,
皮皮虾总裁,676500,
单行道,695508,
我们的四十年,684637,
道具师,695201,
皮皮虾总裁,676500,
京剧猫：霸王折,685883,
一级指控,691772,
武者,672240,
爱回家,660899,
泣血旅馆,683903,
少年阿凡提,610055,
带我回家,662510,
俑之城,669234,
关云长（重映）,684243,
爱的距离,662176,
单行道,695508,
亲爱的首席官,685887,
道具师,695201,
八仙之各显神通,680430,
血溅鸳鸯楼,676550,
石头会唱歌,672575,
小家伙,682913,
单行道,695508,
泣血旅馆,683903,
石头会唱歌,672575,
假戏真作,684092,
一个人的城市,695729,
关云长（重映）,684243,
闻烟,641281,
